Reporte de drivers y modulos del kernel
Generado: 2026-05-16 11:13:22 -03
Equipo: javier-lcd
Kernel: 6.17.0-23-generic

=== MODULOS CARGADOS ===
Module                  Size  Used by
pci          | ata_piix                       | ata_piix                  | (0) -
pci          | ehci-pci                       | ehci_pci                  | (0) -
pci          | i801_smbus                     | i2c_i801                  | (1) 0000:00:1f.4
pci          | i915                           | i915                      | (1) 0000:00:02.0
pci          | imsttfb                        | imsttfb                   | (0) -
pci          | intel_pch_thermal              | intel_pch_thermal         | (1) 0000:00:12.0
pci          | intel_pmc_ssram_telemetry      | intel_pmc_ssram_telemetry | (0) -
pci          | intel_scu                      | intel_scu_pcidrv          | (0) -
pci          | intel-spi                      | spi_intel_pci             | (1) 0000:00:1f.5
pci          | intel_vsec                     | intel_vsec                | (0) -
pci          | iosf_mbi_pci                   | iosf_mbi                  | (0) -
pci          | mei_me                         | mei_me                    | (1) 0000:00:16.0
pci          | nvme                           | nvme                      | (1) 0000:07:00.0
pci          | octep_hp                       | octep_hp                  | (0) -
pci          | ohci-pci                       | ohci_pci                  | (0) -
pci          | parport_pc                     | parport_pc                | (0) -
pci          | pata_sis                       | pata_sis                  | (0) -
pci          | pcieport                       | pcieportdrv               | (3) 0000:00:1d.1 0000:00:1d.4 0000:00:1d.0
pci          | proc_thermal                   | processor_thermal_device_pci_legacy | (1) 0000:00:04.0
pci          | pwm-lpss                       | pwm_lpss_pci              | (0) -
pci          | r8169                          | r8169                     | (1) 0000:04:00.0
pci          | rtw88_8822ce                   | rtw88_8822ce              | (1) 0000:05:00.0
pci          | serial                         | 8250_pci                  | (0) -
pci          | shpchp                         | shpchp                    | (0) -
pci          | skl_uncore                     | intel_uncore              | (1) 0000:00:00.0
pci          | snd_hda_intel                  | snd_hda_intel             | (1) 0000:00:1f.3
pci          | snd_soc_avs                    | snd_soc_avs               | (0) -
pci          | sof-audio-pci-intel-cnl        | snd_sof_pci_intel_cnl     | (0) -
pci          | thunderbolt                    | thunderbolt               | (0) -
pci          | uhci_hcd                       | uhci_hcd                  | (0) -
pci          | virtio-pci                     | virtio_pci                | (0) -
pci          | xen-platform-pci               | platform_pci              | (0) -
pci          | xhci_hcd                       | xhci_pci                  | (1) 0000:00:14.0
pci_express  | aer                            | builtin/no-visible        | (3) 0000:00:1d.0:pcie002 0000:00:1d.4:pcie002 0000:00:1d.1:pcie002
pci_express  | dpc                            | builtin/no-visible        | (3) 0000:00:1d.4:pcie008 0000:00:1d.1:pcie008 0000:00:1d.0:pcie008
pci_express  | pcie_bwctrl                    | builtin/no-visible        | (3) 0000:00:1d.0:pcie010 0000:00:1d.4:pcie010 0000:00:1d.1:pcie010
pci_express  | pciehp                         | builtin/no-visible        | (0) -
pci_express  | pcie_pme                       | builtin/no-visible        | (3) 0000:00:1d.4:pcie001 0000:00:1d.1:pcie001 0000:00:1d.0:pcie001
platform     | ac                             | builtin/no-visible        | (1) ACPI0003:00
platform     | acpi-fan                       | builtin/no-visible        | (0) -
platform     | acpi-ged                       | builtin/no-visible        | (0) -
platform     | acpi-wmi                       | wmi                       | (6) PNP0C14:00 PNP0C14:05 PNP0C14:03 PNP0C14:01 PNP0C14:04 PNP0C14:02
platform     | alarmtimer                     | builtin/no-visible        | (1) alarmtimer.0.auto
platform     | amd_gpio                       | builtin/no-visible        | (0) -
platform     | axp288_pmic_acpi               | builtin/no-visible        | (0) -
platform     | basic-mmio-gpio                | builtin/no-visible        | (0) -
platform     | bxt_whiskey_cove_pmic          | builtin/no-visible        | (0) -
platform     | byt_crystal_cove_pmic          | builtin/no-visible        | (0) -
platform     | byt_gpio                       | builtin/no-visible        | (0) -
platform     | cannonlake-pinctrl             | pinctrl_cannonlake        | (1) INT34BB:00
platform     | charger-manager                | builtin/no-visible        | (0) -
platform     | cherryview-pinctrl             | builtin/no-visible        | (0) -
platform     | cht_crystal_cove_pmic          | builtin/no-visible        | (0) -
platform     | cht_dollar_cove_ti_pmic        | builtin/no-visible        | (0) -
platform     | cht_whiskey_cove_pmic          | builtin/no-visible        | (0) -
platform     | clk-fch                        | builtin/no-visible        | (0) -
platform     | clk-lpss-atom                  | builtin/no-visible        | (0) -
platform     | clk-pmc-atom                   | builtin/no-visible        | (0) -
platform     | crystal_cove_gpio              | builtin/no-visible        | (0) -
platform     | crystal_cove_pwm               | builtin/no-visible        | (0) -
platform     | dwc2                           | builtin/no-visible        | (0) -
platform     | dw-pcie                        | builtin/no-visible        | (0) -
platform     | e820_pmem                      | builtin/no-visible        | (0) -
platform     | ehci-platform                  | builtin/no-visible        | (0) -
platform     | gated-fixed-clk                | builtin/no-visible        | (0) -
platform     | gpio-clk                       | builtin/no-visible        | (0) -
platform     | i2c_designware                 | builtin/no-visible        | (0) -
platform     | i8042                          | builtin/no-visible        | (1) i8042
platform     | int3400 thermal                | int3400_thermal           | (1) INT3400:00
platform     | int3403 thermal                | int3403_thermal           | (3) INT3403:01 INT3403:02 INT3403:00
platform     | intel_pmc_core                 | intel_pmc_core            | (1) INT33A1:00
platform     | intel_rapl_msr                 | intel_rapl_msr            | (1) intel_rapl_msr.0
platform     | kgdboc                         | builtin/no-visible        | (1) kgdboc
platform     | lgm-dma                        | builtin/no-visible        | (0) -
platform     | mt6323-pwrc                    | builtin/no-visible        | (0) -
platform     | ohci-platform                  | builtin/no-visible        | (0) -
platform     | palmas-gpio                    | builtin/no-visible        | (0) -
platform     | parport_pc                     | parport_pc                | (0) -
platform     | poweroff-restart               | builtin/no-visible        | (0) -
platform     | processor_aggregator           | acpi_pad                  | (1) ACPI000C:00
platform     | pwm-lpss                       | builtin/no-visible        | (0) -
platform     | rc5t583-gpio                   | builtin/no-visible        | (0) -
platform     | rproc-virtio                   | builtin/no-visible        | (0) -
platform     | serial8250                     | builtin/no-visible        | (1) serial8250
platform     | simple-framebuffer             | builtin/no-visible        | (0) -
platform     | simple-reset                   | builtin/no-visible        | (0) -
